Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Intensidad depresión;Total
Ambos sexos;Total Nacional;;TOTAL;39.974,1
Ambos sexos;Total Nacional;;Ninguna;34.668,8
Ambos sexos;Total Nacional;;Leve;3.359,7
Ambos sexos;Total Nacional;;Moderada;997,8
Ambos sexos;Total Nacional;;Moderadamente grave;471,4
Ambos sexos;Total Nacional;;Grave;230,3
Ambos sexos;Total Nacional;;No consta;246,2
Ambos sexos;Total Nacional;01 Andalucía;TOTAL;7.096,4
Ambos sexos;Total Nacional;01 Andalucía;Ninguna;6.421,9
Ambos sexos;Total Nacional;01 Andalucía;Leve;427,9
Ambos sexos;Total Nacional;01 Andalucía;Moderada;150,7
Ambos sexos;Total Nacional;01 Andalucía;Moderadamente grave;58,2
Ambos sexos;Total Nacional;01 Andalucía;Grave;17,6
Ambos sexos;Total Nacional;01 Andalucía;No consta;20,0
Ambos sexos;Total Nacional;02 Aragón;TOTAL;1.121,4
Ambos sexos;Total Nacional;02 Aragón;Ninguna;964,4
Ambos sexos;Total Nacional;02 Aragón;Leve;108,2
Ambos sexos;Total Nacional;02 Aragón;Moderada;35,6
Ambos sexos;Total Nacional;02 Aragón;Moderadamente grave;5,8
Ambos sexos;Total Nacional;02 Aragón;Grave;4,1
Ambos sexos;Total Nacional;02 Aragón;No consta;3,3
Ambos sexos;Total Nacional;03 Asturias, Principado de;TOTAL;896,9
Ambos sexos;Total Nacional;03 Asturias, Principado de;Ninguna;797,8
Ambos sexos;Total Nacional;03 Asturias, Principado de;Leve;59,3
Ambos sexos;Total Nacional;03 Asturias, Principado de;Moderada;12,5
Ambos sexos;Total Nacional;03 Asturias, Principado de;Moderadamente grave;9,7
Ambos sexos;Total Nacional;03 Asturias, Principado de;Grave;4,4
Ambos sexos;Total Nacional;03 Asturias, Principado de;No consta;13,3
Ambos sexos;Total Nacional;04 Balears, Illes;TOTAL;1.030,2
Ambos sexos;Total Nacional;04 Balears, Illes;Ninguna;956,4
Ambos sexos;Total Nacional;04 Balears, Illes;Leve;35,0
Ambos sexos;Total Nacional;04 Balears, Illes;Moderada;28,2
Ambos sexos;Total Nacional;04 Balears, Illes;Moderadamente grave;2,7
Ambos sexos;Total Nacional;04 Balears, Illes;Grave;6,7
Ambos sexos;Total Nacional;04 Balears, Illes;No consta;1,3
Ambos sexos;Total Nacional;05 Canarias;TOTAL;1.936,1
Ambos sexos;Total Nacional;05 Canarias;Ninguna;1.712,2
Ambos sexos;Total Nacional;05 Canarias;Leve;147,0
Ambos sexos;Total Nacional;05 Canarias;Moderada;26,5
Ambos sexos;Total Nacional;05 Canarias;Moderadamente grave;16,8
Ambos sexos;Total Nacional;05 Canarias;Grave;20,7
Ambos sexos;Total Nacional;05 Canarias;No consta;12,9
Ambos sexos;Total Nacional;06 Cantabria;TOTAL;500,1
Ambos sexos;Total Nacional;06 Cantabria;Ninguna;472,9
Ambos sexos;Total Nacional;06 Cantabria;Leve;8,4
Ambos sexos;Total Nacional;06 Cantabria;Moderada;12,5
Ambos sexos;Total Nacional;06 Cantabria;Moderadamente grave;3,5
Ambos sexos;Total Nacional;06 Cantabria;Grave;1,3
Ambos sexos;Total Nacional;06 Cantabria;No consta;1,6
Ambos sexos;Total Nacional;07 Castilla y León;TOTAL;2.063,7
Ambos sexos;Total Nacional;07 Castilla y León;Ninguna;1.618,9
Ambos sexos;Total Nacional;07 Castilla y León;Leve;276,4
Ambos sexos;Total Nacional;07 Castilla y León;Moderada;90,2
Ambos sexos;Total Nacional;07 Castilla y León;Moderadamente grave;46,5
Ambos sexos;Total Nacional;07 Castilla y León;Grave;13,6
Ambos sexos;Total Nacional;07 Castilla y León;No consta;18,3
Ambos sexos;Total Nacional;08 Castilla - La Mancha;TOTAL;1.709,7
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Ninguna;1.563,4
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Leve;98,4
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Moderada;26,1
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Moderadamente grave;9,5
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Grave;5,5
Ambos sexos;Total Nacional;08 Castilla - La Mancha;No consta;6,7
Ambos sexos;Total Nacional;09 Cataluña;TOTAL;6.397,6
Ambos sexos;Total Nacional;09 Cataluña;Ninguna;5.541,1
Ambos sexos;Total Nacional;09 Cataluña;Leve;581,1
Ambos sexos;Total Nacional;09 Cataluña;Moderada;145,3
Ambos sexos;Total Nacional;09 Cataluña;Moderadamente grave;60,7
Ambos sexos;Total Nacional;09 Cataluña;Grave;27,1
Ambos sexos;Total Nacional;09 Cataluña;No consta;42,3
Ambos sexos;Total Nacional;10 Comunitat Valenciana;TOTAL;4.255,3
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Ninguna;3.493,1
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Leve;444,6
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Moderada;141,6
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Moderadamente grave;100,7
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Grave;44,6
Ambos sexos;Total Nacional;10 Comunitat Valenciana;No consta;30,7
Ambos sexos;Total Nacional;11 Extremadura;TOTAL;904,8
Ambos sexos;Total Nacional;11 Extremadura;Ninguna;804,0
Ambos sexos;Total Nacional;11 Extremadura;Leve;78,2
Ambos sexos;Total Nacional;11 Extremadura;Moderada;9,5
Ambos sexos;Total Nacional;11 Extremadura;Moderadamente grave;8,7
Ambos sexos;Total Nacional;11 Extremadura;Grave;3,6
Ambos sexos;Total Nacional;11 Extremadura;No consta;0,8
Ambos sexos;Total Nacional;12 Galicia;TOTAL;2.360,6
Ambos sexos;Total Nacional;12 Galicia;Ninguna;1.989,3
Ambos sexos;Total Nacional;12 Galicia;Leve;226,3
Ambos sexos;Total Nacional;12 Galicia;Moderada;63,1
Ambos sexos;Total Nacional;12 Galicia;Moderadamente grave;31,2
Ambos sexos;Total Nacional;12 Galicia;Grave;24,7
Ambos sexos;Total Nacional;12 Galicia;No consta;26,1
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;TOTAL;5.649,9
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Ninguna;4.906,2
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Leve;481,8
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Moderada;137,7
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Moderadamente grave;59,4
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Grave;30,8
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;No consta;34,1
Ambos sexos;Total Nacional;14 Murcia, Región de;TOTAL;1.242,4
Ambos sexos;Total Nacional;14 Murcia, Región de;Ninguna;1.058,4
Ambos sexos;Total Nacional;14 Murcia, Región de;Leve;115,0
Ambos sexos;Total Nacional;14 Murcia, Región de;Moderada;36,9
Ambos sexos;Total Nacional;14 Murcia, Región de;Moderadamente grave;17,4
Ambos sexos;Total Nacional;14 Murcia, Región de;Grave;10,0
Ambos sexos;Total Nacional;14 Murcia, Región de;No consta;4,6
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;TOTAL;547,4
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Ninguna;479,8
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Leve;39,4
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Moderada;19,0
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Moderadamente grave;3,7
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;Grave;1,0
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;No consta;4,6
Ambos sexos;Total Nacional;16 País Vasco;TOTAL;1.863,3
Ambos sexos;Total Nacional;16 País Vasco;Ninguna;1.540,4
Ambos sexos;Total Nacional;16 País Vasco;Leve;199,6
Ambos sexos;Total Nacional;16 País Vasco;Moderada;54,3
Ambos sexos;Total Nacional;16 País Vasco;Moderadamente grave;33,4
Ambos sexos;Total Nacional;16 País Vasco;Grave;12,9
Ambos sexos;Total Nacional;16 País Vasco;No consta;22,8
Ambos sexos;Total Nacional;17 Rioja, La;TOTAL;267,4
Ambos sexos;Total Nacional;17 Rioja, La;Ninguna;233,4
Ambos sexos;Total Nacional;17 Rioja, La;Leve;20,9
Ambos sexos;Total Nacional;17 Rioja, La;Moderada;6,9
Ambos sexos;Total Nacional;17 Rioja, La;Moderadamente grave;2,8
Ambos sexos;Total Nacional;17 Rioja, La;Grave;1,2
Ambos sexos;Total Nacional;17 Rioja, La;No consta;2,0
Ambos sexos;Total Nacional;18 Ceuta;TOTAL;66,8
Ambos sexos;Total Nacional;18 Ceuta;Ninguna;58,2
Ambos sexos;Total Nacional;18 Ceuta;Leve;5,9
Ambos sexos;Total Nacional;18 Ceuta;Moderada;1,0
Ambos sexos;Total Nacional;18 Ceuta;Moderadamente grave;0,6
Ambos sexos;Total Nacional;18 Ceuta;Grave;0,3
Ambos sexos;Total Nacional;18 Ceuta;No consta;0,7
Ambos sexos;Total Nacional;19 Melilla;TOTAL;64,3
Ambos sexos;Total Nacional;19 Melilla;Ninguna;56,8
Ambos sexos;Total Nacional;19 Melilla;Leve;6,3
Ambos sexos;Total Nacional;19 Melilla;Moderada;0,5
Ambos sexos;Total Nacional;19 Melilla;Moderadamente grave;0,4
